Classifier,SVM
Mean Fit Time,25.045370054244994
Mean Score Time,0.3987211465835571
Mean Train Accuracy,0.9363811728395064
Mean Test Accuracy,0.8604166666666668
Mean Train F1,0.9363804498840376
Mean Test F1,0.8603577887934254
Mean Train Neg Log Loss,-0.23375825625002547
Mean Test Neg Log Loss,-0.34039152499827796
