Classifier,SVM
Mean Fit Time,7.293747234344482
Mean Score Time,0.24033203125
Mean Train Accuracy,0.6456404320987654
Mean Test Accuracy,0.6322916666666666
Mean Train F1,0.6440376427952943
Mean Test F1,0.630462296577104
Mean Train Neg Log Loss,-0.6301041722571944
Mean Test Neg Log Loss,-0.6437299256133385
