Classifier,RFC n=30
Mean Fit Time,14.091212797164918
Mean Score Time,0.11018636226654052
Mean Train Accuracy,0.9996913580246913
Mean Test Accuracy,0.8340277777777778
Mean Train F1,0.9996913580017216
Mean Test F1,0.8338618681912487
Mean Train Neg Log Loss,-0.0889670965344786
Mean Test Neg Log Loss,-0.37761961234341807
