Classifier,RFC n=5
Mean Fit Time,3.1206542253494263
Mean Score Time,0.07870562076568603
Mean Train Accuracy,0.9934413580246915
Mean Test Accuracy,0.8114583333333332
Mean Train F1,0.9934413351811123
Mean Test F1,0.8113961170365693
Mean Train Neg Log Loss,-0.2493633708999611
Mean Test Neg Log Loss,-0.4834558581726432
