Classifier,RFC n=20
Mean Fit Time,10.95163598060608
Mean Score Time,0.090932297706604
Mean Train Accuracy,0.9996527777777778
Mean Test Accuracy,0.8381944444444445
Mean Train F1,0.9996527776916414
Mean Test F1,0.8380212234341201
Mean Train Neg Log Loss,-0.10939061352769172
Mean Test Neg Log Loss,-0.3970607362599924
