Classifier,RFC n=40
Mean Fit Time,2.89367470741272
Mean Score Time,0.10308284759521484
Mean Train Accuracy,0.9143904320987654
Mean Test Accuracy,0.6826388888888889
Mean Train F1,0.9140213439167463
Mean Test F1,0.6820749802830604
Mean Train Neg Log Loss,-0.3724943164552262
Mean Test Neg Log Loss,-0.6003986258461731
