Classifier,RFC n=50
Mean Fit Time,24.521296668052674
Mean Score Time,0.13792412281036376
Mean Train Accuracy,1.0
Mean Test Accuracy,0.842013888888889
Mean Train F1,1.0
Mean Test F1,0.8419424776757379
Mean Train Neg Log Loss,-0.07558563334077058
Mean Test Neg Log Loss,-0.3625330850413902
