Classifier,RFC n=50
Mean Fit Time,3.746943736076355
Mean Score Time,0.11133372783660889
Mean Train Accuracy,0.9152006172839506
Mean Test Accuracy,0.6826388888888888
Mean Train F1,0.9148482674052902
Mean Test F1,0.6816584023938242
Mean Train Neg Log Loss,-0.3700259781513279
Mean Test Neg Log Loss,-0.6020784303182023
