Classifier,MLP n=10
Mean Fit Time,15.437519717216492
Mean Score Time,0.053372883796691896
Mean Train Accuracy,0.6410493827160494
Mean Test Accuracy,0.6284722222222222
Mean Train F1,0.639931953312354
Mean Test F1,0.6271826104512087
Mean Train Neg Log Loss,-0.6321528870015345
Mean Test Neg Log Loss,-0.6479061850433634
