Classifier,RFC n=10
Mean Fit Time,0.7304953575134278
Mean Score Time,0.04803264141082764
Mean Train Accuracy,0.9069444444444443
Mean Test Accuracy,0.6840277777777778
Mean Train F1,0.9065450538883946
Mean Test F1,0.6832453617266767
Mean Train Neg Log Loss,-0.41104834405285284
Mean Test Neg Log Loss,-0.6050499558700527
