Classifier,MLP n=20
Mean Fit Time,140.76639094352723
Mean Score Time,0.12392106056213378
Mean Train Accuracy,0.9155092592592592
Mean Test Accuracy,0.8666666666666668
Mean Train F1,0.9155065852963539
Mean Test F1,0.8666144991898959
Mean Train Neg Log Loss,-0.24025244811853277
Mean Test Neg Log Loss,-0.3335797967807642
