Classifier,RFC n=5
Mean Fit Time,0.3986788272857666
Mean Score Time,0.039862966537475585
Mean Train Accuracy,0.9005787037037039
Mean Test Accuracy,0.6704861111111111
Mean Train F1,0.9001377294523994
Mean Test F1,0.6695455642127097
Mean Train Neg Log Loss,-0.4525903100956459
Mean Test Neg Log Loss,-0.6218358250522796
