Classifier,RFC n=20
Mean Fit Time,8.482302522659301
Mean Score Time,0.07799310684204101
Mean Train Accuracy,0.9998070987654322
Mean Test Accuracy,0.8399305555555557
Mean Train F1,0.99980709873672
Mean Test F1,0.8398096744773363
Mean Train Neg Log Loss,-0.10466639530189321
Mean Test Neg Log Loss,-0.3914206305397608
