Classifier,MLP n=250
Mean Fit Time,170.26052145957948
Mean Score Time,0.09200472831726074
Mean Train Accuracy,0.9345293209876543
Mean Test Accuracy,0.8631944444444445
Mean Train F1,0.9345205590490565
Mean Test F1,0.8630207322696595
Mean Train Neg Log Loss,-0.21599281218693833
Mean Test Neg Log Loss,-0.33921456726762944
