Classifier,MLP n=100
Mean Fit Time,117.00878968238831
Mean Score Time,0.11527235507965088
Mean Train Accuracy,0.9188271604938272
Mean Test Accuracy,0.85625
Mean Train F1,0.9188187209848323
Mean Test F1,0.856184335293316
Mean Train Neg Log Loss,-0.23938149676273968
Mean Test Neg Log Loss,-0.34868888402497583
