Classifier,LOG
Mean Fit Time,15.443986392021179
Mean Score Time,0.0903806209564209
Mean Train Accuracy,0.9200617283950618
Mean Test Accuracy,0.8638888888888889
Mean Train F1,0.9200612094568031
Mean Test F1,0.8638113411116599
Mean Train Neg Log Loss,-0.23326583296873277
Mean Test Neg Log Loss,-0.3251811720829158
