Classifier,MLP n=100
Mean Fit Time,133.494389128685
Mean Score Time,0.13906393051147461
Mean Train Accuracy,0.9231481481481483
Mean Test Accuracy,0.8743055555555556
Mean Train F1,0.9231436937966284
Mean Test F1,0.8741632855009595
Mean Train Neg Log Loss,-0.22611910201655058
Mean Test Neg Log Loss,-0.32111524524227414
