Classifier,LOG
Mean Fit Time,3.5594751834869385
Mean Score Time,0.05706789493560791
Mean Train Accuracy,0.6482253086419754
Mean Test Accuracy,0.6350694444444444
Mean Train F1,0.6470017810264845
Mean Test F1,0.6333831748125834
Mean Train Neg Log Loss,-0.625439989872121
Mean Test Neg Log Loss,-0.6423462752994379
