Classifier,LOG
Mean Fit Time,13.17549388408661
Mean Score Time,0.08213574886322021
Mean Train Accuracy,0.9032407407407408
Mean Test Accuracy,0.851736111111111
Mean Train F1,0.903239719835453
Mean Test F1,0.8516413762395277
Mean Train Neg Log Loss,-0.2616997581317864
Mean Test Neg Log Loss,-0.3489819551196031
