Classifier,MLP n=20
Mean Fit Time,120.16670997142792
Mean Score Time,0.11483495235443116
Mean Train Accuracy,0.9079475308641977
Mean Test Accuracy,0.8541666666666667
Mean Train F1,0.9079438830453901
Mean Test F1,0.8540439067394047
Mean Train Neg Log Loss,-0.2566529293077967
Mean Test Neg Log Loss,-0.35429310555381244
